timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605981299874,996,ClickOnRegister,200,OK,Thread Group 1-1,text,true,,547,715,4,4,https://demo.opencart.com/index.php?route=account%2Fregister%2Fcustomfield&customer_group_id=1,975,0,161
1605981292594,2260,Select_Register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,5337,1463,4,4,null,2033,6017,330
1605981300070,1084,Register_Success,200,OK,Thread Group 1-3,text,true,,3373,807,4,4,https://demo.opencart.com/index.php?route=account%2Fsuccess,876,0,0
1605981295770,2379,Account_register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,8208,2699,4,4,null,1965,3008,165
1605981300474,1243,Register,200,OK,Thread Group 1-4,text,true,,4760,748,4,4,https://demo.opencart.com/index.php?route=account/register,1029,0,156
1605981301104,1262,Register,200,OK,Thread Group 1-2,text,true,,4728,748,4,4,https://demo.opencart.com/index.php?route=account/register,1050,0,163
1605981301158,2073,Navigating_Account_Page,200,OK,Thread Group 1-3,text,true,,4089,1556,4,4,https://demo.opencart.com/index.php?route=account/login,1010,0,158
1605981301158,1010,Navigating_Account_Page-0,302,Found,Thread Group 1-3,text,true,,562,780,4,4,https://demo.opencart.com/index.php?route=account%2Faccount,1010,0,158
1605981302169,1062,Navigating_Account_Page-1,200,OK,Thread Group 1-3,text,true,,3527,776,4,4,https://demo.opencart.com/index.php?route=account/login,859,0,0
1605981301157,2073,Navigating_AccountPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,4089,1556,4,4,null,1010,3,158
1605981303234,1225,Logout_1,200,OK,Thread Group 1-3,text,true,,3324,779,4,4,https://demo.opencart.com/index.php?route=account%2Flogout,1022,0,167
1605981303858,1350,Register_form,200,OK,Thread Group 1-1,text,true,,4893,1837,5,5,https://demo.opencart.com/index.php?route=account/register,1141,0,185
1605981304460,1064,Logout_2,200,OK,Thread Group 1-3,text,true,,3324,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,857,0,0
1605981303233,2289,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,6648,1558,5,5,null,1879,4,167
1605981304717,1016,ClickOnRegister,200,OK,Thread Group 1-4,text,true,,547,715,5,5,https://demo.opencart.com/index.php?route=account%2Fregister%2Fcustomfield&customer_group_id=1,992,0,162
1605981297474,2259,Select_Register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,5307,1463,5,5,null,2021,6002,318
1605981305211,1071,Register_Success,200,OK,Thread Group 1-1,text,true,,3373,807,5,5,https://demo.opencart.com/index.php?route=account%2Fsuccess,875,0,0
1605981300871,2421,Account_register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,8266,2644,5,5,null,2016,2991,185
1605981305017,1356,Launch_Homepage,200,OK,Thread Group 1-5,text,true,,4693,569,5,5,https://demo.opencart.com/,1153,0,273
1605981305367,1015,ClickOnRegister,200,OK,Thread Group 1-2,text,true,,547,715,5,5,https://demo.opencart.com/index.php?route=account%2Fregister%2Fcustomfield&customer_group_id=1,992,0,168
1605981298104,2277,Select_Register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,5275,1463,5,5,null,2042,6002,331
1605981305531,1371,Launch_Homepage,200,OK,Thread Group 1-3,text,true,,4248,698,5,5,https://demo.opencart.com/,1165,0,255
1605981306380,1128,Launch_Homepage1,200,OK,Thread Group 1-5,text,true,,4226,704,5,5,https://demo.opencart.com/,906,0,0
1605981305015,2484,Launch_URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,8919,1273,5,5,null,2059,10,273
1605981306905,1098,Launch_Homepage1,200,OK,Thread Group 1-3,text,true,,4321,704,5,5,https://demo.opencart.com/,890,0,0
1605981305528,2469,Launch_URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,8569,1402,5,5,null,2055,7,255
1605981306285,2132,Navigating_Account_Page,200,OK,Thread Group 1-1,text,true,,4051,1556,5,5,https://demo.opencart.com/index.php?route=account/login,1039,0,187
1605981306285,1039,Navigating_Account_Page-0,302,Found,Thread Group 1-1,text,true,,562,780,5,5,https://demo.opencart.com/index.php?route=account%2Faccount,1039,0,187
1605981307326,1091,Navigating_Account_Page-1,200,OK,Thread Group 1-1,text,true,,3489,776,5,5,https://demo.opencart.com/index.php?route=account/login,887,0,0
1605981306284,2132,Navigating_AccountPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,4051,1556,5,5,null,1039,1,187
1605981308418,1239,Logout_1,200,OK,Thread Group 1-1,text,true,,3324,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,1026,0,165
1605981308725,1304,Register_form,200,OK,Thread Group 1-4,text,true,,4886,1936,5,5,https://demo.opencart.com/index.php?route=account/register,1096,0,156
1605981309387,1273,Register_form,200,OK,Thread Group 1-2,text,true,,4830,1892,5,5,https://demo.opencart.com/index.php?route=account/register,1071,0,160
1605981309661,1073,Logout_2,200,OK,Thread Group 1-1,text,true,,3324,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,868,0,0
1605981308418,2312,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,6648,1558,5,5,null,1894,5,165
1605981310030,1054,Register_Success,200,OK,Thread Group 1-4,text,true,,3368,807,5,5,https://demo.opencart.com/index.php?route=account%2Fsuccess,852,0,0
1605981305736,2358,Account_register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,8254,2743,5,5,null,1948,2991,156
1605981310511,1226,Register,200,OK,Thread Group 1-5,text,true,,4728,748,5,5,https://demo.opencart.com/index.php?route=account/register,1026,0,156
